countriesAndTerritories,Schools,Full_Lockdown,Post_Lockdown,,,,,,
United_States_of_America,16/03/2020,23/03/2020,,,,,,,
Italy,04/03/2020,09/03/2020,,,,,,,
Spain,12/03/2020,13/03/2020,11/05/2020,,,,,,
France ,17/03/2020,17/03/2020,,,,,,,
United_Kingdom,18/03/2020,23/03/2020,,,,,,,
Iran,20/03/2020,20/03/2020,11/04/2020,,,,,,
Belgium ,17/03/2020,17/03/2020,04/05/2020,,,,,,
Germany,13/03/2020,22/03/2020,04/05/2020,,,,,,
China ,17/02/2020,23/01/2020,08/04/2020,,,,,,
Netherlands ,12/03/2020,12/03/2020,11/05/2020,,,,,,
Brazil,20/03/2020,,,,,,,,
Turkey,16/03/2020,27/03/2020,11/04/2020,,,,,,
Sweden,,,,,,,,,
Canada,17/03/2020,17/03/2020,04/05/2020,,,,,,
Switzerland ,13/03/2020,16/03/2020,27/04/2020,,,,,,
Portugal,12/03/2020,18/03/2020,04/05/2020,,,,,,
Indonesia,15/03/2020,15/03/2020,,,,,,,
Mexico,20/03/2020,25/03/2020,,,,,,,
Ireland,12/03/2020,27/03/2020,,,,,,,
India,13/03/2020,24/03/2020,,,,,,,
