,dateRep,cases,countriesAndTerritories,flag
2579,2019-12-31,0,Finland,0.0
1450,2019-12-31,0,Cases_on_an_international_conveyance_Japan,0.0
2130,2019-12-31,0,Dominican_Republic,0.0
2897,2019-12-31,0,Germany,0.0
6070,2019-12-31,0,Qatar,0.0
4550,2019-12-31,0,Luxembourg,0.0
5094,2019-12-31,0,Nepal,0.0
934,2019-12-31,0,Belgium,0.0
2217,2019-12-31,0,Ecuador,0.0
7241,2019-12-31,0,Taiwan,0.0
2671,2019-12-31,0,France,0.0
6752,2019-12-31,0,South_Korea,0.0
1375,2019-12-31,0,Canada,0.0
7142,2019-12-31,0,Switzerland,0.0
4339,2019-12-31,0,Lebanon,0.0
3284,2019-12-31,0,Iceland,0.0
5647,2019-12-31,0,Oman,0.0
2805,2019-12-31,0,Georgia,0.0
537,2019-12-31,0,Austria,0.0
1777,2019-12-31,0,Croatia,0.0
6247,2019-12-31,0,Russia,0.0
1914,2019-12-31,0,Czech_Republic,0.0
7050,2019-12-31,0,Sweden,0.0
3375,2019-12-31,0,India,0.0
7535,2019-12-31,0,United_Arab_Emirates,0.0
7879,2019-12-31,0,Vietnam,0.0
2025,2019-12-31,0,Denmark,0.0
5923,2019-12-31,0,Philippines,0.0
5468,2019-12-31,0,North_Macedonia,0.0
81,2019-12-31,0,Afghanistan,0.0
3924,2019-12-31,0,Italy,0.0
842,2019-12-31,0,Belarus,0.0
3552,2019-12-31,0,Iran,0.0
5280,2019-12-31,0,New_Zealand,0.0
1264,2019-12-31,0,Cambodia,0.0
445,2019-12-31,0,Australia,0.0
2305,2019-12-31,0,Egypt,0.0
5561,2019-12-31,0,Norway,0.0
4206,2019-12-31,0,Kuwait,0.0
344,2019-12-31,0,Armenia,0.0
7627,2019-12-31,0,United_Kingdom,0.0
5186,2019-12-31,0,Netherlands,0.0
3732,2019-12-31,0,Ireland,0.0
3460,2019-12-31,0,Indonesia,0.0
3017,2019-12-31,0,Greece,0.0
7734,2019-12-31,0,United_States_of_America,0.0
6928,2019-12-31,0,Sri_Lanka,0.0
4465,2019-12-31,0,Lithuania,0.0
6845,2019-12-31,0,Spain,0.0
1114,2019-12-31,0,Brazil,0.0
4035,2019-12-31,0,Japan,0.0
4815,2019-12-31,0,Mexico,0.0
727,2019-12-31,0,Bahrain,0.0
2432,2019-12-31,0,Estonia,0.0
622,2019-12-31,0,Azerbaijan,0.0
6565,2019-12-31,0,Singapore,0.0
219,2019-12-31,0,Algeria,0.0
5385,2019-12-31,0,Nigeria,0.0
5734,2019-12-31,0,Pakistan,0.0
3642,2019-12-31,0,Iraq,0.0
7326,2019-12-31,0,Thailand,0.0
6386,2019-12-31,0,San_Marino,0.0
1609,2019-12-31,27,China,0.0
3832,2019-12-31,0,Israel,0.0
4652,2019-12-31,0,Malaysia,0.0
6160,2019-12-31,0,Romania,0.0
4917,2019-12-31,0,Monaco,0.0
2578,2020-01-01,0,Finland,0.0
726,2020-01-01,0,Bahrain,0.0
2804,2020-01-01,0,Georgia,0.0
4338,2020-01-01,0,Lebanon,0.0
4549,2020-01-01,0,Luxembourg,0.0
5384,2020-01-01,0,Nigeria,0.0
7049,2020-01-01,0,Sweden,0.0
6385,2020-01-01,0,San_Marino,0.0
1776,2020-01-01,0,Croatia,0.0
3459,2020-01-01,0,Indonesia,0.0
6069,2020-01-01,0,Qatar,0.0
