,dateRep,deaths,countriesAndTerritories,flag
72,2019-12-31,0,Afghanistan,0.0
164,2019-12-31,0,Algeria,0.0
267,2019-12-31,0,Armenia,0.0
350,2019-12-31,0,Australia,0.0
433,2019-12-31,0,Austria,0.0
509,2019-12-31,0,Azerbaijan,0.0
596,2019-12-31,0,Bahrain,0.0
684,2019-12-31,0,Belarus,0.0
767,2019-12-31,0,Belgium,0.0
885,2019-12-31,0,Brazil,0.0
994,2019-12-31,0,Cambodia,0.0
1087,2019-12-31,0,Canada,0.0
1153,2019-12-31,0,Cases_on_an_international_conveyance_Japan,0.0
1267,2019-12-31,0,China,0.0
1390,2019-12-31,0,Croatia,0.0
1492,2019-12-31,0,Czech_Republic,0.0
1585,2019-12-31,0,Denmark,0.0
1663,2019-12-31,0,Dominican_Republic,0.0
1741,2019-12-31,0,Ecuador,0.0
1820,2019-12-31,0,Egypt,0.0
1911,2019-12-31,0,Estonia,0.0
2012,2019-12-31,0,Finland,0.0
2095,2019-12-31,0,France,0.0
2193,2019-12-31,0,Georgia,0.0
2276,2019-12-31,0,Germany,0.0
2369,2019-12-31,0,Greece,0.0
2523,2019-12-31,0,Iceland,0.0
2605,2019-12-31,0,India,0.0
2681,2019-12-31,0,Indonesia,0.0
2764,2019-12-31,0,Iran,0.0
2845,2019-12-31,0,Iraq,0.0
2926,2019-12-31,0,Ireland,0.0
3008,2019-12-31,0,Israel,0.0
3091,2019-12-31,0,Italy,0.0
3184,2019-12-31,0,Japan,0.0
3301,2019-12-31,0,Kuwait,0.0
3400,2019-12-31,0,Lebanon,0.0
3492,2019-12-31,0,Lithuania,0.0
3568,2019-12-31,0,Luxembourg,0.0
3652,2019-12-31,0,Malaysia,0.0
3764,2019-12-31,0,Mexico,0.0
3848,2019-12-31,0,Monaco,0.0
3954,2019-12-31,0,Nepal,0.0
4037,2019-12-31,0,Netherlands,0.0
4116,2019-12-31,0,New_Zealand,0.0
4194,2019-12-31,0,Nigeria,0.0
4268,2019-12-31,0,North_Macedonia,0.0
4351,2019-12-31,0,Norway,0.0
4428,2019-12-31,0,Oman,0.0
4506,2019-12-31,0,Pakistan,0.0
4641,2019-12-31,0,Philippines,0.0
4757,2019-12-31,0,Qatar,0.0
4838,2019-12-31,0,Romania,0.0
4916,2019-12-31,0,Russia,0.0
5015,2019-12-31,0,San_Marino,0.0
5149,2019-12-31,0,Singapore,0.0
5285,2019-12-31,0,South_Korea,0.0
5368,2019-12-31,0,Spain,0.0
5442,2019-12-31,0,Sri_Lanka,0.0
5537,2019-12-31,0,Sweden,0.0
5620,2019-12-31,0,Switzerland,0.0
5701,2019-12-31,0,Taiwan,0.0
5777,2019-12-31,0,Thailand,0.0
5907,2019-12-31,0,United_Arab_Emirates,0.0
